BOROUGH,NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,NUMBER_OF_SALES,MINIMUM_SALE_PRICE,AVERAGE_SALE_PRICE,MEDIAN_SALE_PRICE,MAXIMUM_SALE_PRICE
BRONX,BATHGATE,01 ONE FAMILY DWELLINGS,5,275000,404600,458000,526000
BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,9,404586,568495,625000,750000
BRONX,BATHGATE,03 THREE FAMILY DWELLINGS,4,325000,628625,645000,899500
BRONX,BAYCHESTER,01 ONE FAMILY DWELLINGS,91,200000,469167,475000,1135173
BRONX,BAYCHESTER,02 TWO FAMILY DWELLINGS,116,225000,652295,665000,953460
BRONX,BAYCHESTER,03 THREE FAMILY DWELLINGS,16,375000,667359,663875,880000
BRONX,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,12,210000,583917,632000,990000
BRONX,BEDFORD PARK/NORWOOD,02 TWO FAMILY DWELLINGS,20,235000,632213,655000,1150000
BRONX,BEDFORD PARK/NORWOOD,03 THREE FAMILY DWELLINGS,12,288000,818613,764500,2500000
BRONX,BELMONT,01 ONE FAMILY DWELLINGS,3,400000,1183333,599999,2550000
BRONX,BELMONT,02 TWO FAMILY DWELLINGS,6,326000,557667,515000,895000
BRONX,BELMONT,03 THREE FAMILY DWELLINGS,5,640000,702920,655000,844600
BRONX,BRONXDALE,01 ONE FAMILY DWELLINGS,39,205000,430478,430000,600000
BRONX,BRONXDALE,02 TWO FAMILY DWELLINGS,57,269953,654971,685000,1093253
BRONX,BRONXDALE,03 THREE FAMILY DWELLINGS,14,425000,721822,720000,1200000
BRONX,CASTLE HILL/UNIONPORT,01 ONE FAMILY DWELLINGS,17,230000,464728,475000,615000
BRONX,CASTLE HILL/UNIONPORT,02 TWO FAMILY DWELLINGS,30,350000,633817,637500,875000
BRONX,CASTLE HILL/UNIONPORT,03 THREE FAMILY DWELLINGS,9,525000,762444,755000,930000
BRONX,CITY ISLAND,01 ONE FAMILY DWELLINGS,34,200000,538907,530000,1275000
BRONX,CITY ISLAND,02 TWO FAMILY DWELLINGS,7,350000,562000,520000,949000
BRONX,CITY ISLAND-PELHAM STRIP,01 ONE FAMILY DWELLINGS,3,840000,929667,950000,999000
BRONX,CO-OP CITY,02 TWO FAMILY DWELLINGS,1,550000,550000,550000,550000
BRONX,COUNTRY CLUB,01 ONE FAMILY DWELLINGS,78,200000,577994,575000,1255000
BRONX,COUNTRY CLUB,02 TWO FAMILY DWELLINGS,27,315000,783421,740000,1525000
BRONX,COUNTRY CLUB,03 THREE FAMILY DWELLINGS,3,655000,854667,950000,959000
BRONX,CROTONA PARK,01 ONE FAMILY DWELLINGS,6,575000,729500,640000,970000
BRONX,CROTONA PARK,02 TWO FAMILY DWELLINGS,18,294000,586378,612500,985000
BRONX,CROTONA PARK,03 THREE FAMILY DWELLINGS,4,420000,688854,702708,930000
BRONX,EAST TREMONT,01 ONE FAMILY DWELLINGS,15,355000,632133,500000,2300000
BRONX,EAST TREMONT,02 TWO FAMILY DWELLINGS,10,340000,622500,687500,810000
BRONX,EAST TREMONT,03 THREE FAMILY DWELLINGS,9,675000,787889,825000,975000
BRONX,FIELDSTON,01 ONE FAMILY DWELLINGS,11,707684,1639744,1512500,3250000
BRONX,FORDHAM,01 ONE FAMILY DWELLINGS,3,475000,522667,493000,600000
BRONX,FORDHAM,02 TWO FAMILY DWELLINGS,10,353000,696164,649300,1150000
BRONX,FORDHAM,03 THREE FAMILY DWELLINGS,6,575000,710667,670000,954000
BRONX,HIGHBRIDGE/MORRIS HEIGHTS,01 ONE FAMILY DWELLINGS,3,294500,444000,455000,582500
BRONX,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,28,275000,647076,637500,1060000
BRONX,HIGHBRIDGE/MORRIS HEIGHTS,03 THREE FAMILY DWELLINGS,4,500000,780000,810500,999000
BRONX,HUNTS POINT,02 TWO FAMILY DWELLINGS,6,280000,554966,415000,1149796
BRONX,HUNTS POINT,03 THREE FAMILY DWELLINGS,2,755000,812000,812000,869000
BRONX,KINGSBRIDGE HTS/UNIV HTS,01 ONE FAMILY DWELLINGS,8,215000,533538,510500,853300
BRONX,KINGSBRIDGE HTS/UNIV HTS,02 TWO FAMILY DWELLINGS,12,443500,655042,642500,950000
BRONX,KINGSBRIDGE HTS/UNIV HTS,03 THREE FAMILY DWELLINGS,2,580000,650000,650000,720000
BRONX,KINGSBRIDGE/JEROME PARK,01 ONE FAMILY DWELLINGS,16,345999,601469,545000,1250000
BRONX,KINGSBRIDGE/JEROME PARK,02 TWO FAMILY DWELLINGS,21,335000,665302,700000,999999
BRONX,KINGSBRIDGE/JEROME PARK,03 THREE FAMILY DWELLINGS,5,392500,656500,750000,830000
BRONX,MELROSE/CONCOURSE,01 ONE FAMILY DWELLINGS,3,340000,388333,355000,470000
BRONX,MELROSE/CONCOURSE,02 TWO FAMILY DWELLINGS,8,395000,557275,557500,725000
BRONX,MELROSE/CONCOURSE,03 THREE FAMILY DWELLINGS,11,500000,862005,717060,1650000
BRONX,MORRIS PARK/VAN NEST,01 ONE FAMILY DWELLINGS,29,270000,545414,565000,715000
BRONX,MORRIS PARK/VAN NEST,02 TWO FAMILY DWELLINGS,55,286000,671882,667500,1200000
BRONX,MORRIS PARK/VAN NEST,03 THREE FAMILY DWELLINGS,16,550000,776463,750000,1035000
BRONX,MORRISANIA/LONGWOOD,01 ONE FAMILY DWELLINGS,17,214000,422068,440000,720000
BRONX,MORRISANIA/LONGWOOD,02 TWO FAMILY DWELLINGS,36,275000,573921,580000,950000
BRONX,MORRISANIA/LONGWOOD,03 THREE FAMILY DWELLINGS,31,280250,688314,700000,999999
BRONX,MOTT HAVEN/PORT MORRIS,01 ONE FAMILY DWELLINGS,4,250000,402500,397500,565000
BRONX,MOTT HAVEN/PORT MORRIS,02 TWO FAMILY DWELLINGS,16,500000,11604219,750500,87400000
BRONX,MOTT HAVEN/PORT MORRIS,03 THREE FAMILY DWELLINGS,9,525000,733975,730000,975000
BRONX,MOUNT HOPE/MOUNT EDEN,01 ONE FAMILY DWELLINGS,4,382000,646500,677000,850000
BRONX,MOUNT HOPE/MOUNT EDEN,02 TWO FAMILY DWELLINGS,8,460000,4841533,792500,33072265
BRONX,MOUNT HOPE/MOUNT EDEN,03 THREE FAMILY DWELLINGS,2,580000,690000,690000,800000
BRONX,PARKCHESTER,01 ONE FAMILY DWELLINGS,5,202699,628790,450000,1350000
BRONX,PARKCHESTER,02 TWO FAMILY DWELLINGS,18,280000,642223,640000,990952
BRONX,PARKCHESTER,03 THREE FAMILY DWELLINGS,13,278850,751065,750000,1250000
BRONX,PELHAM GARDENS,01 ONE FAMILY DWELLINGS,28,340000,572500,578750,793100
BRONX,PELHAM GARDENS,02 TWO FAMILY DWELLINGS,17,375000,772353,750000,1300000
BRONX,PELHAM PARKWAY NORTH,01 ONE FAMILY DWELLINGS,32,250000,569453,599500,795000
BRONX,PELHAM PARKWAY NORTH,02 TWO FAMILY DWELLINGS,53,260000,617110,630000,977520
BRONX,PELHAM PARKWAY NORTH,03 THREE FAMILY DWELLINGS,3,748414,799471,785000,865000
BRONX,PELHAM PARKWAY SOUTH,01 ONE FAMILY DWELLINGS,12,400000,597800,622000,790000
BRONX,PELHAM PARKWAY SOUTH,02 TWO FAMILY DWELLINGS,19,385000,720553,750000,985000
BRONX,PELHAM PARKWAY SOUTH,03 THREE FAMILY DWELLINGS,8,360000,832375,902500,999000
BRONX,RIVERDALE,01 ONE FAMILY DWELLINGS,38,370000,1246321,1096200,4325000
BRONX,RIVERDALE,02 TWO FAMILY DWELLINGS,13,200000,772115,792500,1255000
BRONX,RIVERDALE,03 THREE FAMILY DWELLINGS,2,936000,1093000,1093000,1250000
BRONX,SCHUYLERVILLE/PELHAM BAY,01 ONE FAMILY DWELLINGS,48,245000,571792,575000,1180000
BRONX,SCHUYLERVILLE/PELHAM BAY,02 TWO FAMILY DWELLINGS,50,258315,692386,707500,1235000
BRONX,SCHUYLERVILLE/PELHAM BAY,03 THREE FAMILY DWELLINGS,10,475000,803600,760500,1180000
BRONX,SOUNDVIEW,01 ONE FAMILY DWELLINGS,33,202500,438853,440000,710000
BRONX,SOUNDVIEW,02 TWO FAMILY DWELLINGS,68,223250,613976,650000,960000
BRONX,SOUNDVIEW,03 THREE FAMILY DWELLINGS,27,382810,716869,700000,960000
BRONX,THROGS NECK,01 ONE FAMILY DWELLINGS,119,200000,474448,475000,1100000
BRONX,THROGS NECK,02 TWO FAMILY DWELLINGS,69,350000,696468,700000,999999
BRONX,THROGS NECK,03 THREE FAMILY DWELLINGS,9,460000,691889,575000,1062000
BRONX,WAKEFIELD,01 ONE FAMILY DWELLINGS,47,240000,456442,480000,590000
BRONX,WAKEFIELD,02 TWO FAMILY DWELLINGS,69,210000,579170,580000,920000
BRONX,WAKEFIELD,03 THREE FAMILY DWELLINGS,23,325000,710311,725000,999343
BRONX,WESTCHESTER,01 ONE FAMILY DWELLINGS,6,385000,504430,517500,575000
BRONX,WESTCHESTER,02 TWO FAMILY DWELLINGS,37,220000,651594,630000,999999
BRONX,WESTCHESTER,03 THREE FAMILY DWELLINGS,5,350000,611600,688000,790000
BRONX,WILLIAMSBRIDGE,01 ONE FAMILY DWELLINGS,34,210000,411985,422500,604000
BRONX,WILLIAMSBRIDGE,02 TWO FAMILY DWELLINGS,86,250000,604701,625276,900000
BRONX,WILLIAMSBRIDGE,03 THREE FAMILY DWELLINGS,23,425000,753133,779000,999000
BRONX,WOODLAWN,01 ONE FAMILY DWELLINGS,18,250000,572722,555000,745000
BRONX,WOODLAWN,02 TWO FAMILY DWELLINGS,15,536000,734800,740000,900000
BRONX,WOODLAWN,03 THREE FAMILY DWELLINGS,5,500000,682200,600000,959000
